	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_271_3.txt	271	3	1784.0	425.75	1298.0	48.1666666667	653.157894737	1246.8125	1500.11111111	34.75	822.5	29.5	140.0	82.3333333333	78.0	44.0	91.5	14.0	51.0	105.0	104.25	38.375	16.75
alpha_rarefaction_271_4.txt	271	4	2517.0	379.0	1367.15384615	40.25	800.2	1118.23529412	1230.09090909	93.0	1109.88235294	24.0	159.0	69.6	28.0	38.0	80.75	10.0	48.8571428571	83.0	82.0	31.5833333333	16.75
alpha_rarefaction_271_5.txt	271	5	2184.0	425.75	1081.35294118	51.5	713.625	1042.47368421	1186.90909091	47.0	966.0	26.5	122.333333333	73.2	31.3333333333	49.5	102.333333333	14.0	53.75	76.75	98.2	35.6666666667	14.5
alpha_rarefaction_271_6.txt	271	6	2085.42857143	436.545454545	1172.5	46.0	621.25	1022.78947368	1664.875	59.0	1033.05882353	22.3333333333	112.2	65.5	29.0	49.5	81.75	7.0	54.0	74.0	87.2	38.375	16.75
alpha_rarefaction_271_7.txt	271	7	2085.42857143	393.272727273	1368.15384615	54.0	680.0	1022.78947368	2622.2	38.5	885.047619048	22.3333333333	106.0	61.6666666667	32.0	42.0	86.5	14.0	57.6	60.2	97.75	29.5	22.5
alpha_rarefaction_271_8.txt	271	8	2258.42857143	302.588235294	1378.5	51.2	761.066666667	1174.88235294	1446.11111111	47.0	918.789473684	17.75	121.25	73.2	32.0	42.0	81.3333333333	10.0	55.2	74.0	98.2	38.375	20.0
alpha_rarefaction_271_9.txt	271	9	1681.33333333	295.6875	1381.61538462	42.75	734.3125	1508.07142857	1625.5	65.0	901.4	21.5	93.2	82.75	26.25	44.0	117.0	10.0	47.5	76.75	110.0	45.1428571429	14.5
alpha_rarefaction_300_0.txt	300	0	2277.625	381.066666667	1525.71428571	49.1666666667	779.166666667	1179.5	1609.6	47.0	974.954545455	22.3333333333	169.0	75.2	35.0	49.5	93.5	14.0	55.2	74.0	110.0	34.0	16.75
alpha_rarefaction_300_1.txt	300	1	2277.625	381.066666667	1525.71428571	49.1666666667	779.166666667	1179.5	1609.6	47.0	974.954545455	22.3333333333	169.0	75.2	35.0	49.5	93.5	14.0	55.2	74.0	110.0	34.0	16.75
alpha_rarefaction_300_2.txt	300	2	2277.625	381.066666667	1525.71428571	49.1666666667	779.166666667	1179.5	1609.6	47.0	974.954545455	22.3333333333	169.0	75.2	35.0	49.5	93.5	14.0	55.2	74.0	110.0	34.0	16.75
alpha_rarefaction_300_3.txt	300	3	2277.625	381.066666667	1525.71428571	49.1666666667	779.166666667	1179.5	1609.6	47.0	974.954545455	22.3333333333	169.0	75.2	35.0	49.5	93.5	14.0	55.2	74.0	110.0	34.0	16.75
alpha_rarefaction_300_4.txt	300	4	2277.625	381.066666667	1525.71428571	49.1666666667	779.166666667	1179.5	1609.6	47.0	974.954545455	22.3333333333	169.0	75.2	35.0	49.5	93.5	14.0	55.2	74.0	110.0	34.0	16.75
