	sequences per sample	iteration	E3.7.Pav.vari.1.20150124.T	E3.5.Gal.astr.1.20150124.T	E1.5.Gal.astr.1.20140728.T	E7.6.Acr.hyac.3.20150622.T	E3.7.Pav.vari.2.20150124.T	E1.7.Pav.vari.1.20140805.T	E7.7.Pav.vari.2.20150622.T	E3.6.Acr.hyac.4.20150105.T	E1.5.Gal.astr.1.20140905.T	E3.6.Acr.hyac.4.20150106.T	E7.10.Ser.cali.1.20150622.T	E10.Ser.cali.3.20150627.T	E7.6.Acr.hyac.1.20150622.T	E7.6.Acr.hyac.2.20150622.T	E7.10.Poc.dami.3.20150621.T	E10.Poc.dami.1.20150628.T	E7.10.Ser.cali.3.20150622.T	E7.10.Poc.dami.1.20150621.T	E7.10.Poc.dami.2.20150621.T	E7.10.Ser.cali.2.20150622.T	E10.Poc.dami.2.20150628.T
alpha_rarefaction_213_1.txt	213	1	141.0	96.0	164.0	28.0	133.0	169.0	132.0	21.0	161.0	17.0	32.0	35.0	20.0	23.0	36.0	8.0	40.0	31.0	41.0	22.0	10.0
alpha_rarefaction_213_2.txt	213	2	145.0	92.0	159.0	30.0	138.0	163.0	145.0	20.0	161.0	18.0	29.0	35.0	17.0	21.0	36.0	6.0	37.0	35.0	37.0	21.0	9.0
alpha_rarefaction_213_3.txt	213	3	148.0	92.0	158.0	28.0	136.0	162.0	142.0	24.0	164.0	15.0	32.0	35.0	23.0	23.0	34.0	6.0	42.0	30.0	40.0	21.0	10.0
alpha_rarefaction_213_4.txt	213	4	138.0	92.0	158.0	32.0	137.0	164.0	143.0	18.0	157.0	19.0	30.0	35.0	22.0	23.0	37.0	7.0	38.0	25.0	40.0	23.0	10.0
alpha_rarefaction_213_5.txt	213	5	137.0	99.0	162.0	27.0	144.0	169.0	143.0	21.0	161.0	17.0	33.0	34.0	21.0	25.0	38.0	6.0	39.0	27.0	39.0	25.0	10.0
alpha_rarefaction_213_6.txt	213	6	147.0	97.0	155.0	32.0	143.0	164.0	145.0	22.0	158.0	16.0	35.0	36.0	19.0	23.0	35.0	6.0	39.0	30.0	38.0	22.0	9.0
alpha_rarefaction_213_7.txt	213	7	149.0	90.0	165.0	28.0	142.0	165.0	144.0	20.0	162.0	16.0	36.0	35.0	19.0	21.0	36.0	8.0	39.0	29.0	38.0	24.0	10.0
alpha_rarefaction_213_8.txt	213	8	144.0	93.0	159.0	33.0	138.0	165.0	137.0	22.0	162.0	18.0	34.0	36.0	21.0	22.0	33.0	8.0	37.0	29.0	38.0	24.0	11.0
alpha_rarefaction_213_9.txt	213	9	141.0	94.0	161.0	30.0	144.0	163.0	146.0	21.0	168.0	17.0	33.0	37.0	19.0	24.0	35.0	8.0	38.0	28.0	40.0	22.0	8.0
alpha_rarefaction_242_0.txt	242	0	162.0	102.0	178.0	31.0	155.0	186.0	157.0	23.0	186.0	17.0	37.0	37.0	23.0	26.0	38.0	6.0	40.0	35.0	40.0	25.0	12.0
